Longitude,Latitude
173.070553108,19.780920248
174.016130866,19.9140734262
174.963272098,20.0422208826
175.911929614,20.1653194272
176.862054242,20.2833273434
177.813594883,20.3962044277
178.766498554,20.5039120285
179.720710453,20.6064130836
-179.323825984,20.703672157
-178.367169021,20.7956554749
-177.40937855,20.8823309594
-176.450516019,20.9636682621
-175.490644361,21.0396387952
-174.529827908,21.110215762
-173.568132315,21.1753741853
-172.605624468,21.2350909341
-171.6423724,21.2893447484
-170.6784452,21.3381162629
-169.713912913,21.3813880279
-168.748846448,21.4191445284
-167.783317479,21.4513722019
-166.817398343,21.4780594531
-165.851161937,21.4991966671
-164.884681616,21.51477622
-163.918031085,21.5247924878
-162.951284298,21.5292418527
-161.984515344,21.528122707
-161.017798346,21.5214354551
-160.051207353,21.5091825131
